lematizado	original	con quien se fusionó
difun	difundida	difun                         1
ataca	atacantes	ataca                         319
paren	parent	paren                         3
prese	presento	prese                         29
prese	presente	prese                         365
envid	envidioso	envid                         1
prese	presenta	prese                         375
graph	graphicid	graph                         2
mayus	mayuscula	mayus                         2
front	frontale	front                         18
conse	conservadurismo	conse                         4
beaut	beautify	beaut                         16
charl	charlatan	charl                         22
recib	recibidos	recib                         66
recib	recibidor	recib                         67
adole	adolescentes	adole                         4
reque	requested	reque                         384
insta	instalado	insta                         34
telet	teleticacom	telet                         387
anali	analive	anali                         434
tripl	triples	tripl                         7
actua	actualidad	actua                         431
rival	rivales	rival                         41
llega	llegaran	llega                         148
corre	corredores	corre                         380
googl	googlegoogle	googl                         1
punta	puntas	punta                         782
retur	returns	retur                         3
tribu	tribune	tribu                         11
rival	rivaldo	rival                         232
negoc	negociacion	negoc                         43
patri	patrio	patri                         16
presi	presione	presi                         40
